1	一	87,9%	常用	1	7462	210	483	650	2019	504	497	284	462	137	2034	182
2	人	81,3%	常用	1	6902	176	499	604	1810	464	373	253	433	127	1990	173
3	大	77,4%	常用	1	6564	165	417	613	1720	490	470	286	415	111	1681	196
4	出	74,5%	常用	1	6325	174	384	550	1581	436	428	229	412	93	1866	172
5	分	74,0%	常用	2	6282	171	427	465	1671	507	460	247	361	115	1678	180
6	上	71,7%	常用	1	6087	169	354	508	1630	418	467	257	369	101	1640	174
7	中	71,4%	常用	1	6057	173	382	572	1549	434	406	224	408	111	1630	168
8	見	68,7%	常用	1	5827	159	380	485	1337	344	333	209	374	101	1945	160
9	生	67,6%	常用	1	5732	150	418	448	1515	471	349	226	324	94	1611	126
10	行	66,3%	常用	2	5623	188	353	497	1670	377	373	232	303	85	1400	145
11	間	64,3%	常用	2	5455	155	387	477	1561	444	401	228	344	88	1232	138
12	自	63,7%	常用	2	5405	135	429	414	1530	367	335	208	344	101	1403	139
13	本	62,2%	常用	1	5276	162	337	510	1590	375	369	236	368	113	1063	153
14	時	62,2%	常用	2	5275	167	344	538	1461	370	354	231	375	94	1208	133
15	的	61,8%	常用	4	5245	151	398	426	1838	456	391	248	322	110	786	119
16	合	61,3%	常用	2	5203	160	304	415	1603	402	410	231	321	108	1086	163
17	事	60,9%	常用	3	5170	109	332	452	1567	299	302	198	251	77	1489	94
18	手	59,3%	常用	1	5028	133	276	354	1180	279	321	185	361	76	1700	163
19	日	59,2%	常用	1	5023	151	326	544	1448	368	334	220	327	105	1063	137
20	思	58,6%	常用	2	4976	138	380	395	1066	292	244	161	327	97	1777	99
21	前	57,6%	常用	2	4889	142	279	477	1263	327	291	189	322	92	1388	119
22	方	57,5%	常用	2	4875	158	324	453	1579	414	412	243	316	114	716	146
23	場	57,3%	常用	2	4859	159	264	362	1517	348	381	237	327	84	1034	146
24	年	57,2%	常用	1	4853	133	246	527	1563	333	319	210	327	80	1001	114
25	言	56,0%	常用	2	4748	140	368	377	1080	239	206	138	279	119	1734	68
26	後	55,4%	常用	2	4704	114	257	485	1280	331	299	182	313	73	1253	117
27	者	55,1%	常用	3	4671	126	320	417	1538	337	268	187	261	89	1057	71
28	気	53,5%	常用	1	4541	109	295	326	752	345	293	160	318	70	1736	137
29	二	53,0%	常用	1	4495	108	297	529	1088	239	198	133	250	71	1532	50
30	入	52,4%	常用	1	4448	149	229	400	1218	310	405	221	301	61	987	167
31	目	51,8%	常用	1	4399	117	280	348	1138	267	291	173	291	76	1295	123
32	体	51,8%	常用	2	4394	98	276	292	1241	417	311	177	238	78	1159	107
33	実	51,2%	常用	3	4346	144	301	324	1390	336	320	199	255	84	892	101
34	同	50,6%	常用	2	4292	129	278	380	1328	269	289	166	257	92	979	125
35	立	50,5%	常用	1	4287	107	288	396	1242	243	234	167	239	64	1226	81
36	理	49,3%	常用	2	4184	126	302	274	1350	338	318	182	192	80	936	86
37	当	48,2%	常用	2	4092	110	215	346	1328	230	253	174	263	69	1037	67
38	部	47,6%	常用	3	4035	99	177	344	1084	310	308	142	218	58	1196	99
39	会	47,0%	常用	2	3986	103	269	362	1433	226	203	151	213	61	901	64
39	動	47,0%	常用	3	3986	112	242	310	1148	319	295	165	235	57	992	111
41	下	46,9%	常用	1	3976	106	187	385	974	305	283	161	207	69	1190	109
42	度	46,5%	常用	3	3945	91	195	257	1189	331	303	164	229	59	1014	113
43	対	45,9%	常用	3	3893	111	274	317	1473	326	284	172	197	85	570	84
44	子	45,8%	常用	1	3888	106	228	340	821	277	222	110	247	72	1358	107
45	要	45,7%	常用	4	3878	128	263	278	1461	337	318	185	180	72	562	94
46	用	45,4%	常用	2	3851	147	166	267	1296	329	400	201	175	82	658	130
47	力	45,1%	常用	1	3827	110	281	311	1143	248	267	142	238	64	899	124
48	最	44,5%	常用	4	3777	116	233	333	1051	288	307	177	272	60	824	116
49	心	44,3%	常用	2	3761	96	342	321	876	290	213	132	235	66	1110	80
50	意	43,7%	常用	3	3706	121	317	309	1253	286	280	163	244	114	525	94
51	何	43,6%	常用	2	3697	107	292	267	786	200	181	117	236	66	1383	62
52	明	43,5%	常用	2	3693	100	246	325	1015	255	214	125	199	86	1055	73
53	持	43,2%	常用	3	3664	118	262	250	967	250	238	137	244	58	1037	103
54	通	42,5%	常用	2	3608	119	213	353	1107	252	279	175	202	72	748	88
55	多	42,2%	常用	2	3583	99	213	331	1077	360	274	173	224	73	655	104
56	家	42,1%	常用	2	3574	85	217	374	890	172	178	116	186	51	1239	66
57	関	42,0%	常用	4	3563	109	215	285	1353	297	234	150	169	65	624	62
58	三	41,8%	常用	1	3550	93	236	472	922	190	187	117	220	57	1011	45
58	取	41,8%	常用	3	3550	103	179	253	1067	215	289	149	193	42	978	82
60	現	41,4%	常用	5	3514	125	259	333	1182	300	270	158	235	82	489	81
61	全	41,3%	常用	3	3503	91	205	300	1076	295	250	143	208	54	781	100
62	考	41,3%	常用	2	3501	103	293	246	1132	311	248	160	211	85	635	77
63	成	41,2%	常用	4	3493	114	229	293	1243	302	293	167	211	71	484	86
64	物	41,1%	常用	3	3487	102	241	330	755	309	244	165	183	63	1015	80
65	来	41,0%	常用	2	3476	99	235	338	834	210	197	137	202	69	1086	69
66	内	40,8%	常用	2	3460	112	180	341	1058	288	276	153	187	51	736	78
67	定	40,4%	常用	3	3424	122	198	299	1366	276	314	169	169	63	337	111
68	知	40,3%	常用	2	3422	106	256	326	795	230	188	119	207	70	1052	73
69	高	40,2%	常用	2	3414	94	213	306	944	312	275	189	238	49	677	117
70	以	39,9%	常用	4	3382	94	190	310	1164	286	250	149	213	70	570	86
71	長	39,8%	常用	2	3378	82	171	372	929	242	255	152	197	50	842	86
72	国	39,8%	常用	2	3376	70	190	452	1111	180	178	125	155	74	789	52
72	性	39,8%	常用	5	3376	93	277	225	1116	403	291	174	202	65	442	88
74	発	39,3%	常用	3	3331	97	196	335	1147	338	286	171	195	59	420	87
75	作	38,6%	常用	2	3272	136	133	243	783	241	313	147	264	66	827	119
76	地	38,2%	常用	2	3244	76	209	433	1019	163	249	174	190	59	571	101
77	十	38,2%	常用	1	3238	81	202	364	645	164	157	86	164	46	1297	32
78	話	37,9%	常用	2	3218	84	175	221	637	148	139	103	175	69	1408	59
79	今	36,9%	常用	2	3127	94	221	276	766	170	176	128	208	61	951	76
80	代	36,8%	常用	3	3125	95	212	391	1000	224	226	152	235	83	449	58
81	化	36,2%	常用	3	3070	90	180	263	1040	332	266	159	158	61	460	61
82	私	36,1%	常用	6	3065	101	252	242	635	190	138	92	168	63	1156	28
83	不	36,1%	常用	4	3061	63	226	249	1019	257	198	134	162	51	630	72
84	外	36,0%	常用	2	3051	81	156	283	912	245	227	113	160	56	732	86
85	小	35,7%	常用	1	3029	78	148	314	729	201	217	109	198	53	876	106
86	先	35,6%	常用	1	3021	82	160	256	751	176	185	115	161	52	1006	77
87	所	34,8%	常用	3	2949	92	177	312	896	169	202	115	177	49	699	61
88	必	34,4%	常用	4	2919	100	203	150	1053	261	260	131	157	45	479	80
89	面	34,3%	常用	3	2913	89	154	253	733	181	214	118	207	53	817	94
89	少	34,3%	常用	2	2913	78	164	212	723	242	211	116	173	54	876	64
91	向	34,3%	常用	3	2912	85	180	234	752	185	181	133	178	38	871	75
92	変	34,3%	常用	4	2911	97	173	236	834	274	240	133	198	61	556	109
93	身	34,1%	常用	3	2892	62	253	234	609	227	148	85	186	61	959	68
94	学	34,0%	常用	1	2882	93	225	258	902	300	157	85	166	72	569	55
95	主	33,8%	常用	3	2868	69	195	279	1042	179	191	129	169	62	500	53
96	表	33,5%	常用	3	2843	104	142	209	846	225	235	116	186	89	587	104
97	法	32,8%	常用	4	2784	81	185	185	1110	273	237	114	124	63	330	82
98	月	32,7%	常用	1	2778	76	128	345	850	150	158	125	184	33	661	68
99	書	32,6%	常用	2	2765	113	192	282	864	134	165	71	156	80	643	65
100	重	32,3%	常用	3	2737	68	179	235	872	278	207	118	161	45	507	67
101	機	32,0%	常用	4	2714	81	103	209	888	217	238	129	101	32	646	70
102	問	32,0%	常用	3	2711	59	189	215	1049	209	174	116	141	59	443	57
103	味	31,7%	常用	3	2686	70	215	197	665	186	209	96	195	90	687	76
104	新	31,6%	常用	2	2682	99	152	316	863	155	223	152	187	43	408	84
105	四	31,6%	常用	1	2680	62	169	368	662	125	144	79	144	36	868	23
105	次	31,6%	常用	3	2680	91	168	279	860	187	184	106	151	56	542	56
107	数	31,6%	常用	2	2679	112	134	233	868	253	233	136	166	51	399	94
108	開	31,4%	常用	3	2664	87	133	254	785	176	222	137	164	26	597	83
109	結	31,4%	常用	4	2663	75	208	245	916	238	177	129	161	52	406	56
110	受	31,0%	常用	3	2634	54	182	203	873	206	149	100	146	47	618	56
111	名	30,8%	常用	1	2611	96	149	324	600	107	165	99	191	77	741	62
