コロンビア Kolumbia
フィンランド人 suomalainen
領事館 konsulaatti
トルクメニスタン Turkmenistan
裁判所 tuomioistuin
はだか alastomuus
オスマン語 Osmaninturkki
カーリング curling
曲線 kaari
戦歴 kehittyminen
影響 vaikuttaa
祖父 isoisä
てぶくろ hansikas
中毒 myrkytys
ギリシア語 kreikka
すでに vielä
本 kirja
ニオブ niobi
蛍光灯 loisteputki
コンドーム kondomi
クリアランス pääsy
脳 aivot
アトラス Atlas
未来 tulevaisuus
疾雨 rankkasade
国内総生産 bruttokansantuote
優生学 eugeniikka
セーシェル Seychellit
無料 maksuton
プラセオジム praseodyymi
リンブルフ語 limburgin murre
横領 kavaltaa
冷蔵庫 jääkaappi
インドネシア Indonesia
人力 rikša
向格 allatiivi
やすむ levätä, levähtää
共和国 tasavalta
マフラー kaulaliina
ねずみ rotta
バンコク Bangkok
ましら kädelliset
正中 kulminaatio
あさ hamppu
植物園 kasvitieteellinen
おおなみ hyökyaalto
コンピュータ tietokone
たけのこ bambuverso
親族 sukulaisuussuhde
黄燐 valkoinen fosfori
山査子 orapihlaja
疾雨 kaatosade
ボート vene
叉骨 hankaluu
電子 elektroni
夕食 iltapala
コンセント istukka
ダームスタチウム darmstadtium
悪化 pahentaa
七つの大罪 seitsemän kuolemansyntiä
気球 kuumailmapallo
ベトナム Vietnam
自動車 automobiili
あお sininen
ひかる loistaa
ふろ kylpyhuone
向格 ulkotulento
イオ Io
直角 suorakulma
重要 tärkeä
枕カバー tyynyliina
世界記録 maailmanennätys
インフレーション inflaatio
すがた muoto
みなと turvasatama
目的格 objektiivi
痔 peräpukama
あさやけ aamurusko
機械翻訳 koneellinen kääntäminen
長寿 pitkäikäisyys
反応 vastavaikutus
留守番電話 vastaaja
有理数 rationaaliluku
ベテルギウス Betelgeuze
朝鮮 Korea
なつ suvi
ぐずぐず aikailla
マスカット Masqat
インターネット Internet
かぶとがに molukkirapu
三重水素 tritium
アンペア ampeeri
しろい valkoinen
ジュース mehu
電気洗濯機 pyykkikone
あう tavata
テロリズム terrorismi
敬語 arvonimi
ときどき toisinaan
さそり skorpioni
直径 halkaisija
はだか alaston
スピリッツ sprii
騎士 ritari
蒸留 tislata
占領 miehitys
戒厳令 poikkeustila
職業 työ
高雄 Kaohsiung
サファイア safiiri
なまけもの velttoilija
なる tulla 転格 äityä
軽率 hätäinen
はね höyhen
禁止 kielto
支那 Kiina
おぼれる sortua
固体 kiinteä aine
トラフィック lentoliikenne
てんびん座 Vaaka
囚人 vanki
発音 ääntämys
もも reisi
酸 aine
市民社会 kansalaisyhteiskunta
インパラ impala
建築 arkkitehtuuri
バスケットボール koripallo
アルメニア語 armenia
服従 kuuliaisuus
カード kortti
なつ kesä
もも persikka
しわ ryppy
生徒 tutkija
二束三文 tusinaan
市民 kansalainen
ねむる nukahtaa
タクシー taksi
リトアニア Liettua
サンスクリット sanskrit
シマウマ seepra
セルビア語 serbian kieli
おにごっこ rosvo ja poliisi
トロンボーン pasuuna
債務 velvoite
アルバニア Albania
蜜柑 mandariini
脊柱 selkäranka
手術 leikkaus
ストライキ lakko
植物園 puutarha
所得税 tulovero
みみかざり korvakoru
ブルガリア Bulgaria
精液 sperma
いる pariloida
温度計 lämpömittari
アイスランド人 islantilainen
しる tuntea
陰イオン anioni
ハッシウム hassium
生徒 opiskelija
自由 vapaa
やぎ vuohi
おいしい hyvänmakuinen
最初 ensimmäinen
代表 edustaa
沃素 jodi
甲板 täkki
台湾人 taiwanilainen
オムレツ munakas
なづける nimi
きりん座 Kirahvi
伝統 perimätietö
ひかる paistaa
リヒテンシュタイン Liechtenstein
感謝 kiittää
教育 koulutus
くじら valas
昼食 lounas
延期 lykätä
切符 pääsylippu
いる laukaista
容器 säilö
中手骨 kämmenluu
かべがみ taustakuva
精液 siemenneste
第四 neljäs
タイピスト konekirjoittaja
帝国 imperiumi
ゆうがた ilta
露点 kastepiste
浮力 nostovoima
血族 veriveljeys
こめかみ ohimo
貸借対照表 tase
悪化 heiketä
直腸 peräsuoli
キロメートル kilometri
かわ joki
ハンバーガー hampurilainen
市民 kaupunkilainen
イド語 kieli
質屋 panttilainaamo
ドイツ人 saku
外科医 kirurgi
よる yö
クロム kromi
しいたけ shiitake
つの sarvi
主婦 kotirouva
話題 aihe
君主 hallitsija
ウェールズ語 walesin kieli
ジャスミン jasmiini
おもちゃ lelu
祖父 äidinisä
三位一体 kolmiyhteys
くまねずみ mustarotta
戒厳令 sotatilalaki
かくれる kätkeytyä
いる paistaa
銃弾 kuula
内陸国 sisämaavaltio
あごひげ parta
スタントマン sijaisnäyttelijä
帝国 keisarikunta
特に etenkin
浮力 noste
バター voi
衛星 kuu
消防士 palomies
はたらく tehdä työtä
