Oletko löytänyt sen sateenvarjon, jonka sanoit hävittäneesi joitain päiviä sitten?	こないだなくしたって言ってた傘は見つかった？
Tom on orpolapsi.	トムは孤児です。
Hän tekee töitä tehtaassa.	彼は工場で働いている。
”Pidätkö käärmeistä?” ”En tietenkään pidä!”	「君はヘビが好きですか」「もちろん好きではありません」
Näillä main on paljon hyviä ravintoloita.	この近くには素敵なレストランがたくさんある。
Bill on kaksi vuotta minua vanhempi.	ビルは私より２歳年上である。
Arvelen, että jos sinulla olisi ollut vähän enemmän sisua, olisit onnistunut.	もう少し根気があったら成功していただろう。
Sumopainimestari Baruto on Virosta kotoisin.	大関把瑠都はエストニア出身だ。
Järvi on syvimmillään tässä.	湖はここが一番深い。
Kati meni juhliin tapaamaan ystäväänsä.	ケイトは友人に会いにパーティーに行った。
Kesä on ohi.	夏は終わった。
Kun nousin ylös, Tomilta oli tullut sähköpostia.	起きたらトムからメール来てた。
Tule käymään luonani kotimatkallasi.	帰りに私の家に寄ってください。
Etkö voisi auttaa minua vähän?	私を助けてくれますか。
Tom mietti kuinkakohan monta kertaa Mari aikoo juosta juoksuradan ympäri.	メアリーはトラックを何周走るつもりなのだろうかと、トムは思った。
Ota tämä lääke ruokailun jälkeen.	食後にこの薬を服用しなさい。
»20 euroa. Hieman kyllä kalliinpuoleinen.» »Tinkimällä hinta ehkä vähän vielä tippuu.»	「20ユーロかあ。ちょっと高いな」「値切ったらもう少し安くなるかもよ」
Tomin ääni on upea! Se koskettaa tosi syvälle sieluun!	トムの声やばい！ マジきゅんきゅんする！
Äitini on kaksi vuotta nuorempi kuin isäni.	母は父より二つ下です。
Minä olen Tom.	私の名前はトムです。
Kenen luulet voivan tehdä jotain sellaista?	こんなことしそうなのは誰だと思う？
Tuon Teille laskun heti.	すぐに伝票をお持ちします。
Tom on veljeni.	トムは私の兄です。
Kippis!	乾杯！
Anna jo olla!	いい加減にしろよ。
Puhu lujempaa.	もっと大きな声で話しなさい。
En ole koskaan nähnyt punaista jääkaappia.	赤い冷蔵庫を見たことがない。
Olethan yhteyksissä.	連絡してくださいね。
Ken on hyvä uimaan.	ケンは水泳が得意だ。
Osaan lukea englantia, mutta en osaa puhua sitä.	英語は読めますが話せません。
Hän myy ruokaa.	彼女は食べ物を売る。
Hän lupasi minulle, että hän tulee neljältä.	彼は4時に来ると私と約束した。
Tom teeskenteli, ettei kuullut mitään.	トムは何も聞いていないふりをした。
Kati yllättyi nähdessään sen suuren koiran.	ケイトはその大きな犬を見て驚いた。
Kiitoksia avusta.	手伝ってくれてありがとうね。
Hän päätti lopettaa tupakoinnin.	彼はタバコをやめることを決意した。
Tällä kerholla on viisikymmentä jäsentä.	このクラブの会員は５０名です。
Opiskelen koreaa.	私は朝鮮語を勉強します。
Käänny toisena vastaantulevista liikennevaloista vasemmalle.	2つ目の信号を左に曲がってください。
Päätimme lähteä piknikille, koska sää oli niin erinomainen.	とてもいい天気だったので、私たちはピクニックに行くことに決めた。
Linnut lentävät.	鳥は飛ぶ。
Anteeksi, en kuullut.	ごめん。聞いてなかった。
Ethän juo pullosta.	瓶から飲まないでください。
Lapset kohtelivat kirjoja kovakouraisesti.	子供達は本を乱暴に扱った。
Minulla on nyt kiire.	今、手がはなせません。
Nähdään taas.	またお会いしましょう。
Heti poliisin nähtyään hän juoksi karkuun.	警察官の姿を見て、彼はたちまち逃げ去った。
Älä koske voileipääni.	私のサンドイッチに触るな。
Tom, inhoatko sitä, että sinua sanotaan söpöksi?	トムはかわいいって言われるの嫌？
"Soittaako Tom taas?" "Joo, nykyään hän soittaa joka ilta. Minun ei olisi pitänyt antaa hänelle numeroani."	「またトムから電話？」「うん。このところ毎晩かかってくるの。番号教えるんじゃなかった」
Koiramme olen nähnyt aivastavan, mutta kissan en koskaan.	うちの犬がくしゃみするのは見たことあるけど、猫は一度もないな。
Voisitko kertoa minulle?	お知らせください。
Baseball-ottelu päättyi tasapeliin.	その野球の試合は引き分けに終わった。
Tulen sinne tuota pikaa.	すぐ参ります。
Sinä valehtelit minulle. Eikö niin?	君は私に嘘をついたね。
Mitä teet sunnuntaisin?	日曜日にはどんなことをしますか。
Kuinka vanha sinä olet?	歳はいくつですか。
Tiedän, että olet joutunut odottamaan hirveän kauan, mutta voisitko odottaa vielä vähän aikaa?	すごく待たせちゃってるのは分かってるんだけど、もうちょっとだけ待ってくれない？
Minne ihmeeseen se hölmö aikoo nyt mennä?	あの馬鹿、どこへ行くつもりだ？
Voinko ottaa Tomin mukaan?	トム連れてきてもいい？
He pitivät tätä onnistumista kaikista tärkeimpänä.	彼らはこの成功を最も重要であると考えた。
Odotan huomista innolla.	明日が待ち遠しいよ。
On tullut pimeää, joten älä mene ulos.	暗くなってからは外出するな。
Tulen perästä.	私は後から行きます。
Tule tänne.	こっちに来いよ。
Ketä sinä odotat?	誰待ってるの？
Eikö Kati ole vielä tullut?	ケイトはまだなの？
Minun tietääkseni hän on syyllinen.	わたしの知る限り彼はクロだ。
Hän on tullut juuri kotiin ulkomailta.	彼は外国から帰ったばかりだ。
Jos Tom ei mene, niin en minäkään.	トムが行かないなら私も行かない。
Tulppaanit ovat nyt täydessä kukassa.	チューリップは今が満開です。
Voisitko laittaa radion päälle?	ラジオをつけなさい。
Tom saapui asemalle kello kolmelta.	トムは3時に駅に着いた。
Miksi hän irtisanoi itsensä?	なぜ仕事をやめたのか。
Oletteko nälkäisiä?	お腹が空いているのですか。
Tomilla on mustasankaiset lasit.	トムは黒い眼鏡をかけている。
En voinut mennä ulos sateen takia.	雨のため私は外出できなかった。
Voititko?	勝った？
Missä on postitoimisto?	郵便局はどこですか。
Jalkoihini sattuu.	足が痛い。
Osaan laulaa.	歌が歌える。
Ennen sanottiin, että rauhan säilyttämiseksi sotatoimia on lisättävä. Nyt taas ollaan sitä mieltä, että rauhan säilyttämiseksi sotatoimia tulee vähentää. Jos rauha itse tämän kuulisi, niin mitähän se vastaisi?	曾ては『平和』のために軍備が拡張せられねばならぬと言われた。今は『平和』のために軍備が縮小せられねばならぬと言われる。『平和』がそれを聞いたら何と答えるだろう。
Tää on söötti.	これ、可愛いな。
Voisitko neuvoa minulle miten pääsen rannalle?	海岸への行き方を教えてください。
Minä en syö ikinä aamupalaa.	私はいつも朝ごはんを食べない。
Vatsani on jo ihan täynnä.	もう満腹です。
Söin liikaa eilen.	昨日食べすぎた。
Tässä maailmassa asuu monenlaisia ihmisiä, joilla on erivärinen iho ja erilaiset tavat ja tottumukset.	世界には皮膚の色や風俗習慣を異にするさまざまな人々が住んでいる。
Hän näytti erittäin onnelliselta, toisin kun se mies.	彼女はその男と違ってとても幸福そうだ。
Mike, puhelimeen. Jane soittaa.	マイク、電話ですよ。ジェインからですよ。
On kuule tyhmää ottaa lainaa koronkiskurilta.	高利貸しからお金を借りるのは馬鹿だよ。
Totta kai!	もちろん。
Hänellä oli päällään punainen paita ja musta hame.	彼女は赤いシャツを着て、黒いスカートを履いていました。
Hän on aivan persaukinen.	彼は一文なしだ。
Tällä vauhdilla emme saa tätä valmiiksi ennen viikonlopun alkua.	この調子では週末前に終わりそうにない。
Menen yleensä kävellen.	たいてい歩いて行きます。
Uimaan oppiminen on helppoa.	泳ぎを身につけるのは簡単なことだ。
Koira puri minua käteen.	犬は私の手を噛んだ。
Tomilla on korkea verenpaine.	トムは血圧が高い。
Tom puhuu usein puhelimessa.	トムはよく電話で話す。
Tom pakotti hymyn kasvoilleen.	トムは作り笑いをした。
Miten laatikko tehdään?	どうやって箱を作るのか。
Tiedätkö miten vanha herra Nakano on?	あなたは中野先生が何歳か知っていますか。
Saisinko Mikon puhelimeen?	マイクさんをお願いします。
Meidän automme on varustettu ilmastoinnilla.	うちの車にはエアコンが付いている。
Miten meni matka?	旅行はどうでしたか？
Voinks mä tulla uudestaa?	また来てもいい？
Hei! Mitä kuuluu?	やあ！元気？
Minulla on yksi vihreä paita.	私は緑色のシャツを一枚持っている。
Tomilla ei ole motivaatiota.	トムはやる気がない。
Tom aivasti.	トムはくしゃみをした。
Minä teen sen huolella.	私がちゃんとやりますから。
Tom menetti tajuntansa.	トムは気を失った。
Näyttää jotenkin siltä, että alkaa sataa.	何となく雨みたいだ。
Häivy!	どっか行け。
Tom päätti luopua kaupunkielämästä ja muuttaa maalle.	トムは都会での生活をあきらめ、田舎での生活をすることに決めた。
Mitä on tapahtunut?	何が起こったの？
Hän kiinnitti ilmoituksen ilmoitustaululle nastoilla.	彼は掲示板にそのビラをびょうで留めた。
Ikkunan takaa kuulunut varpusen viserrys tiedotti yön saapumisesta.	窓の外から聞こえてきた雀のチュンチュンという鳴き声で、夜が明けたことを知った。
Loppuisipa koe nopeasti.	早くテスト終わらないかな。
Sellaista ihmistä ei olekaan, joka sodasta pitäisi.	戦争が好きな人は、いない
