一	1	target	一	イチ,イツ,ひと-,ひと.つ	ひと・つ、イチ	yksi	一[いち] (yleisyys: 23.),一[ひと] (yleisyys: 146.),一人[ひとり] (yleisyys: 234.),一寸[ちょっと] (yleisyys: 287.),一般[いっぱん] (yleisyys: 338.)																Merkin vetojen lukumäärä: 1 <br> <a href="https://jisho.org/search/一%23kanji">一 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
二	1	target	二	ニ,ジ,ふた,ふた.つ,ふたたび	ふた・つ、ニ	kaksi	二[に] (yleisyys: 28.),二十[にじゅう] (yleisyys: 66.),二千[にせん] (yleisyys: 193.),二百[にひゃく] (yleisyys: 239.),二人[ふたり] (yleisyys: 252.)																Merkin vetojen lukumäärä: 2 <br> <a href="https://jisho.org/search/二%23kanji">二 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
三	1	target	三	サン,ゾウ,み,み.つ,みっ.つ	みっ・つ、サン	kolme	三[さん] (yleisyys: 32.),三十[さんじゅう] (yleisyys: 89.),三百[さんびゃく] (yleisyys: 368.),三[み] (yleisyys: 586.),三千[さんぜん] (yleisyys: 675.)																Merkin vetojen lukumäärä: 3 <br> <a href="https://jisho.org/search/三%23kanji">三 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
四	1	target	四	シ,よ,よ.つ,よっ.つ,よん	よっ・つ、シ	neljä	四[よん] (yleisyys: 49.),四十[よんじゅう] (yleisyys: 136.),四百[よんひゃく] (yleisyys: 499.),四[し] (yleisyys: 673.),四千[よんせん] (yleisyys: 1136.)																Merkin vetojen lukumäärä: 5 <br> <a href="https://jisho.org/search/四%23kanji">四 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
五	1	target	五	ゴ,いつ,いつ.つ	いつ・つ、ゴ	viisi	五[ご] (yleisyys: 44.),五十[ごじゅう] (yleisyys: 109.),五百[ごひゃく] (yleisyys: 341.),五千[ごせん] (yleisyys: 799.),五[いつ] (yleisyys: 1450.)																Merkin vetojen lukumäärä: 4 <br> <a href="https://jisho.org/search/五%23kanji">五 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
六	1	target	亠八	ロク,リク,む,む.つ,むっ.つ,むい	むっ・つ、ロク	kuusi	六[ろく] (yleisyys: 65.),六十[ろくじゅう] (yleisyys: 161.),六百[ろっぴゃく] (yleisyys: 568.),六千[ろくせん] (yleisyys: 1309.),六[む] (yleisyys: 2141.)																Merkin vetojen lukumäärä: 4 <br> <a href="https://jisho.org/search/六%23kanji">六 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
七	1	target	七	シチ,なな,なな.つ,なの	なな・つ、シチ	seitsemän	七[なな] (yleisyys: 75.),七十[ななじゅう] (yleisyys: 184.),七[しち] (yleisyys: 518.),七百[ななひゃく] (yleisyys: 579.),七千[ななせん] (yleisyys: 1593.)																Merkin vetojen lukumäärä: 2 <br> <a href="https://jisho.org/search/七%23kanji">七 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
八	1	target	八	ハチ,や,や.つ,やっ.つ,よう	やっ・つ、ハチ	kahdeksan	八[はち] (yleisyys: 70.),八十[はちじゅう] (yleisyys: 170.),八百[はっぴゃく] (yleisyys: 349.),八千[はっせん] (yleisyys: 1507.),八[や] (yleisyys: 2228.)																Merkin vetojen lukumäärä: 2 <br> <a href="https://jisho.org/search/八%23kanji">八 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
九	1	target	九	キュウ,ク,ここの,ここの.つ	ここの・つ、キュウ	yhdeksän	九[きゅう] (yleisyys: 76.),九百[きゅうひゃく] (yleisyys: 119.),九十[きゅうじゅう] (yleisyys: 163.),九千[きゅうせん] (yleisyys: 1610.),九[ここの] (yleisyys: 2578.)																Merkin vetojen lukumäärä: 2 <br> <a href="https://jisho.org/search/九%23kanji">九 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
十	1	target	十	ジュウ,ジッ,ジュッ,とお,と	とお、ジュウ	kymmenen	十[じゅう] (yleisyys: 33.),二十[にじゅう] (yleisyys: 66.),三十[さんじゅう] (yleisyys: 89.),五十[ごじゅう] (yleisyys: 109.),四十[よんじゅう] (yleisyys: 136.)																Merkin vetojen lukumäärä: 2 <br> <a href="https://jisho.org/search/十%23kanji">十 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
何	1	target	亻可	カ,なに,なん,なに-,なん-	なに、なん	mikä?	何[なに] (yleisyys: 62.),何時[いつ] (yleisyys: 202.),何処[どこ] (yleisyys: 240.),何[なん] (yleisyys: 277.),何の[どの] (yleisyys: 323.)	何・なに	mikä?	何年生・なんねんせい	moneskoluokkalainen?												Merkin vetojen lukumäärä: 7 <br> <a href="https://jisho.org/search/何%23kanji">何 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
年	1	target	年	ネン,とし	ネン,とし	vuosi	年[ねん] (yleisyys: 42.),年度[ねんど] (yleisyys: 273.),年間[ねんかん] (yleisyys: 564.),年金[ねんきん] (yleisyys: 750.),今年[ことし] (yleisyys: 845.)	年・とし	vuosi	二年生・にねんせい	2. luokkalainen					お年はいくつですか。	Mikä vuosi nyt on?	ティモさんは二ねんせいですか	Onko Timo 2. luokkalainen?				Merkin vetojen lukumäärä: 6 <br> <a href="https://jisho.org/search/年%23kanji">年 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
