"one
one radical (no.1)
";一;"イチ
イツ
ひと-
ひと.つ
";
"sword
saber
knife
";刀;"トウ
かたな
そり
";
"eight
eight radical (no. 12)
";八;"ハチ
や
や.つ
やっ.つ
よう
";
"part
minute of time
segment
share
degree
one's lot
duty
understand
know
rate
1%
chances
shaku/100
";分;"ブン
フン
ブ
わ.ける
わ.け
わ.かれる
わ.かる
わ.かつ
";
"person
";人;"ジン
ニン
ひと
-り
-と
";
"street
ward
town
counter for guns, tools, leaves or cakes of something
even number
4th calendar sign
";丁;"チョウ
テイ
チン
トウ
チ
ひのと
";
"to take small steps
Korean place name
";亍;"チョク
たたず.む
";
"stop
linger
loiter
going man radical (no. 60)
";彳;"テキ
たたず.む
";
"going
journey
carry out
conduct
act
line
row
bank
";行;"コウ
ギョウ
アン
い.く
ゆ.く
-ゆ.き
-ゆき
-い.き
-いき
おこな.う
おこ.なう
";
"day
sun
Japan
counter for days
";日;"ニチ
ジツ
ひ
-び
-か
";
"gate
counter for cannons
";門;"モン
かど
と
";
"interval
space
";間;"カン
ケン
あいだ
ま
あい
";
"tree
wood
";木;"ボク
モク
き
こ-
";
"book
present
main
origin
true
real
counter for long cylindrical things
";本;"ホン
もと
";
"measurement
tenth of a shaku
a little
small
";寸;"スン
";
"soil
earth
ground
Turkey
";土;"ド
ト
つち
";
"Buddhist temple
";寺;"ジ
てら
";
"time
hour
";時;"ジ
とき
-どき
";
"dot
tick or dot radical (no. 3)
";丶;"チュ
";
"wrapping enclosure
wrapping radical (no. 20)
";勹;"ホウ
つつ.む
";
"ladle
one tenth of a go
dip
";勺;"シャク
";
"white
";白;"ハク
ビャク
しろ
しら-
しろ.い
";
"bull's eye
mark
target
object
adjective ending
";的;"テキ
まと
";
"large
big
";大;"ダイ
タイ
おお-
おお.きい
-おお.いに
";
"heart
mind
spirit
heart radical (no. 61)
";心;"シン
こころ
-ごころ
";
"rice field
rice paddy
";田;"デン
た
";
"think
";思;"シ
おも.う
おもえら.く
おぼ.す
";
"not
must not
do not
be not
";勿;"モチ
ブツ
ボツ
なか.れ
なし
";
"open
sun
";昜;"ヨウ
";
"location
place
";場;"ジョウ
チョウ
ば
";
"behind
back
later
";後;"ゴ
コウ
のち
うし.ろ
うしろ
あと
おく.れる
";
"above
up
";上;"ジョウ
ショウ
シャン
うえ
-うえ
うわ-
かみ
あ.げる
-あ.げる
あ.がる
-あ.がる
あ.がり
-あ.がり
のぼ.る
のぼ.り
のぼ.せる
のぼ.す
たてまつ.る
";
"variant of radical 125
";耂;"";
"someone
person
";者;"シャ
もの
";
"";乁;"イ
なが.れる
";
Ei käännöstä;𠂉;"Ei lukutapoja";
"spirit
steam radical (no. 84)
";气;"キ
ケ
いき
";
"spirit
mind
air
atmosphere
mood
";気;"キ
ケ
いき
";
"radical number 9
";亻;"";
"body
substance
object
reality
counter for images
";体;"タイ
テイ
からだ
かたち
";
"shaped crown
katakana u radical (no. 40)
";宀;"ベン
メン
";
"reality
truth
";実;"ジツ
シツ
み
みの.る
まこと
みの
みち.る
";
"in
inside
middle
mean
center
";中;"チュウ
なか
うち
あた.る
";
"exit
leave
go out
come out
put out
protrude
";出;"シュツ
スイ
で.る
-で
だ.す
-だ.す
い.でる
い.だす
";
"ri
village
parent's home
league
";里;"リ
さと
";
"king
rule
magnate
";王;"オウ
-ノウ
";
"logic
arrangement
reason
justice
truth
";理;"リ
ことわり
";
"snout
pig's head radical (no. 58)
";彐;"ケイ
";
"hit
right
appropriate
himself
";当;"トウ
あ.たる
あ.たり
あ.てる
あ.て
まさ.に
まさ.にべし
";
"mouth
";口;"コウ
ク
くち
";
"stand up
rise
set up
erect
";立;"リツ
リュウ
リットル
た.つ
-た.つ
た.ち-
た.てる
-た.てる
た.て-
たて-
-た.て
-だ.て
-だ.てる
";
"to spit out
";咅;"トウ
つばをはいていな.む
";
"section
bureau
dept
class
copy
part
portion
counter for copies of a newspaper or magazine
";部;"ブ
-べ
";
"power
strength
strong
strain
bear up
exert
";力;"リョク
リキ
リイ
ちから
";
"heavy
important
esteem
respect
heap up
pile up
nest of boxes
-fold
";重;"ジュウ
チョウ
え
おも.い
おも.り
おも.なう
かさ.ねる
かさ.なる
おも
";
"move
motion
change
confusion
shift
shake
";動;"ドウ
うご.く
うご.かす
";
"I
myself
katakana mu radical (no. 28)
";厶;"シ
ボウ
ム
わたくし
ござ.る
";
"two
two radical (no. 7)
";二;"ニ
ジ
ふた
ふた.つ
ふたたび
";
"say
";云;"ウン
い.う
ここに
";
Ei käännöstä;𠆢;"Ei lukutapoja";
"meeting
meet
party
association
interview
join
";会;"カイ
エ
あ.う
あ.わせる
あつ.まる
";
"dotted cliff radical (no. 53)
";广;"ゲン
";
"degrees
occurrence
time
counter for occurrences
consider
attitude
";度;"ド
ト
タク
たび
-た.い
";
"sentence
literature
style
art
decoration
figures
plan
literary radical (no. 67)
";文;"ブン
モン
ふみ
あや
";
"vis-a-vis
opposite
even
equal
versus
anti-
compare
";対;"タイ
ツイ
あいて
こた.える
そろ.い
つれあ.い
なら.ぶ
むか.う
";
"woman
female
";女;"ジョ
ニョ
ニョウ
おんな
め
";
"variant of radical 146
";覀;"";
"need
main point
essence
pivot
key to
";要;"ヨウ
い.る
かなめ
";
