一	yksi	Komponentit: 一	Merkin lukutapoja: ひと・つ、イチ	" 
 "	" 
 "	" 
 "	" 
"	Merkin vetojen lukumäärä: 1 	kokonaisuus1
二	kaksi	Komponentit: 二	Merkin lukutapoja: ふた・つ、ニ	" 
 "	" 
 "	" 
 "	" 
"	Merkin vetojen lukumäärä: 2 	kokonaisuus1
三	kolme	Komponentit: 三	Merkin lukutapoja: みっ・つ、サン	" 
 "	" 
 "	" 
 "	" 
"	Merkin vetojen lukumäärä: 3 	kokonaisuus1
四	neljä	Komponentit: 四	Merkin lukutapoja: よっ・つ、シ	" 
 "	" 
 "	" 
 "	" 
"	Merkin vetojen lukumäärä: 5 	kokonaisuus1
五	viisi	Komponentit: 五	Merkin lukutapoja: いつ・つ、ゴ	" 
 "	" 
 "	" 
 "	" 
"	Merkin vetojen lukumäärä: 4 	kokonaisuus1
六	kuusi	Komponentit: 亠八	Merkin lukutapoja: むっ・つ、ロク	" 
 "	" 
 "	" 
 "	" 
"	Merkin vetojen lukumäärä: 4 	kokonaisuus1
七	seitsemän	Komponentit: 七	Merkin lukutapoja: なな・つ、シチ	" 
 "	" 
 "	" 
 "	" 
"	Merkin vetojen lukumäärä: 2 	kokonaisuus1
八	kahdeksan	Komponentit: 八	Merkin lukutapoja: やっ・つ、ハチ	" 
 "	" 
 "	" 
 "	" 
"	Merkin vetojen lukumäärä: 2 	kokonaisuus1
九	yhdeksän	Komponentit: 九	Merkin lukutapoja: ここの・つ、キュウ	" 
 "	" 
 "	" 
 "	" 
"	Merkin vetojen lukumäärä: 2 	kokonaisuus1
十	kymmenen	Komponentit: 十	Merkin lukutapoja: とお、ジュウ	" 
 "	" 
 "	" 
 "	" 
"	Merkin vetojen lukumäärä: 2 	kokonaisuus1
何	mikä?	Komponentit: 亻可	Merkin lukutapoja: なに、なん	"何・なに mikä?
フィンランドは何ごですか。 Mitä kieltä Suomessa puhutaan?"	"何年生・なんねんせい moneskoluokkalainen?
ルースさんは何年生ですか。 Monennellako luokalla Ruusu on?"	" 
 "	" 
"	Merkin vetojen lukumäärä: 7 	kokonaisuus1


年	vuosi	Komponentit: 年	Merkin lukutapoja: ネン,とし	"年・とし vuosi
お年はいくつですか。 Mikä vuosi nyt on?"	"二年生・にねんせい 2. luokkalainen
ティモさんは二ねんせいですか Onko Timo 2. luokkalainen?"	" 
 "	" 
"	Merkin vetojen lukumäärä: 6 	kokonaisuus1

生	elämä; syntymä	Komponentit: 生	Merkin lukutapoja: セイ、いき・る、生まれ？	"生年月日・せいねんがっぴ syntymäaika
生年月日をかいてください。 Kirjoittakaa syntymäaikanne."	"先生、せんせい opettaja
きびしくない先生です。 Hän ei ole ankara opettaja."	"生きる・いきる elää
ひゃくさいまで生きたいですか。 Haluaisitko elää satavuotiaaksi?"	"生まれ・うまれ syntynyt
何月生まれですか。Missä kuussa olet syntynyt?"	Merkin vetojen lukumäärä: 5 	kokonaisuus1



人	ihminen	Komponentit: 人	Merkin lukutapoja: ひと、ニン、ジン	"日本人・にほんじん japanilainen
先生は日本人じゃありません。 Opettaja ei ole japanilainen."	"何人・なんにん kuinka monta henkilöä
きょうだいは何人ですか？ Kuinka monta sisarusta sinulla on?"	"人・ひと ihminen
好きな人はいますか。 Onko sinulla mielitiettyä?"	" 
"	Merkin vetojen lukumäärä: 2 	kokonaisuus1
日	aurinko, päivä	Komponentit: 日	Merkin lukutapoja: ひ	"日本・にほん・にっぽん Japani
日本はじしんがおおいです。 Japanissa on paljon maanjäristyksiä."	"日・ひ aurinko
ゆう日がきれいです。 Auringonlasku on kaunis."	" 
 "	" 
"	Merkin vetojen lukumäärä: 4 	kokonaisuus1
本	kirja; alkuperä; todellinen, aito; laskusana sylinterinmuotoisille esineille	Komponentit: 木一	Merkin lukutapoja: ホン	"本・ほん kirja
本をよむことがしゅみです。 Lukeminen on harrastukseni."	"本当・ほんとう tosi
そのおはなしは本とうですか。 Onko tuo tarina tosi?"	" 
 "	" 
"	Merkin vetojen lukumäärä: 5 	kokonaisuus1
