一	いち	yksi
一つ	ひとつ	1 kpl
一月	いちがつ	tammikuu
一人	ひとり *	1 ihminen
二	に	kaksi
二つ	ふたつ	2 kpl
二月	にがつ	helmikuu
二人	ふたり *	2 ihmistä
三	さん	kolme
三つ	みっつ	3 kpl
三月	さんがつ	maaliskuu
三人	さんにん	3 ihmistä
四	よん／し	neljä
四つ	よっつ	4 kpl
四月	しがつ	huhtikuu
四人	よにん	4 ihmistä
五	ご	viisi
五つ	いつつ	5 kpl
五月	ごがつ	toukokuu
五人	ごにん	5 ihmistä
六	ろく	kuusi
六つ	むっつ	6 kpl
六月	ろくがつ	kesäkuu
六人	ろくにん	6 ihmistä
七	なな／しち	seitsemän
七つ	ななつ	7 kpl
七月	しちがつ	heinäkuu
七人	ななにん／しちにん	7 ihmistä
八	はち	kahdeksan
八つ	やっつ	8 kpl
八月	はちがつ	elokuu
八人	はちにん	8 ihmistä
九	きゅう／く	yhdeksän
九つ	ここのつ	9 kpl
九月	くがつ*	syyskuu
九人	きゅうにん	9 ihmistä
十	じゅう	kymmenen
十	とう	10 kpl
十月	じゅうがつ	lokakuu
十人	じゅうにん	10 ihmistä
人	ひと	ihminen
何人	なんにん	kuinka monta henkilöä
〜人	にん	laskupääte ihmisille
フィンランド人	フィンランドじん	suomalainen
大きい	おおきい	iso
大学生	だいがくせい	yliopisto-opiskelija
大人	おとな*	aikuinen
犬	いぬ	koira
小さい	ちいさい	pieni
小学生	しょうがくせい	alakoululainen
何	なに、なん	mikä, mitä
時	とき	aika
〜時	じ	tunnit kellonajassa
何時	なんじ	mikä kellonaika
〜分	ふん／ぷん	minuutti
何分	なんぷん	montako minuuttia
分かる	わかる	ymmärtää
一時半	いちじはん	puoli kaksi
半分	はんぶん	puolikas
日	ひ	päivä, aurinko
何日	なんにち	mikä kuukaudenpäivä
月	つき	kuu
四月	しがつ	huhtikuu
月曜日	げつようび	maanantai
年	とし	vuosi, ikävuosi
2029年	~ねん	vuosi 2029
二年生	にねんせい	2.-luokkalainen
生年月日	せいねんがっぴ	syntymäaika
生きる	いきる	elää
生まれる	うまれる	syntyä
〜生まれ	うまれ	syntynyt
〜才	さい	ikävuosien laskupääte
何才	なんさい	minkä ikäinen
口	くち	suu
人口	じんこう	väkiluku
目	め	silmä
目的	もくてき	päämäärä, tavoite; aie, tarkoitus
科目	かもく	kouluaine
耳	みみ	korva
手	て	käsi
手足	てあし	kädet ja jalat, raajat
選手	せんしゅ	urheilija
足	あし	jalka
足りる	たりる	riittää
〜足	そく	laskupääte sukka- ja kenkäpareille
本	ほん	kirja
〜本	ほん／ぼん／ぽん	pitkulaisten esineiden laskupääte
日本	にほん／にっぽん	Japani
本当	ほんとう	TOSI
中	なか	keskellä, sisällä
中学生	ちゅうがくせい	yläkoululainen
一日中	いちにちじゅう	koko päivän
日本語	にほんご	japanin kieli
何語	なにご	mikä kieli
言語	げんご	kieli
国	くに	maa, valtio
中国	ちゅうごく	Kiina
国語	こくご	äidinkieli (kouluaine)
百	ひゃく	sata
千	せん	tuhat
万	まん	kymmenentuhatta
円	えん	jeni
何円	なんえん	montako jeniä
火	ひ	tuli
火曜日	かようび	tiistai
水	みず	(kylmä) vesi
水曜日	すいようび	keskiviikko
木	き	puu
木曜日	もくようび	torstai
お金	おかね	raha
金	きん	kulta
金曜日	きんようび	perjantai
土	つち	maa, maaperä
土曜日	どようび	lauantai
入る	はいる	mennä sisään, tulla sisään
入れる	いれる	laittaa sisään
入口	いりぐち	sisäänkäynti
出る	でる	mennä ulos, tulla ulos
出す	だす	ottaa ulos
出口	でぐち	uloskäynti
聞く	きく	kuulla; kuunnella; kysyä
聞こえる	きこえる	kuulua
新聞	しんぶん	sanomalehti
見る	みる	nähdä; katsoa; kokeilla
見える	みえる	näkyä
見せる	みせる	näyttää
意見	いけん	mielipide
来る	くる	tulla
来月	らいげつ	ensi kuu
来年	らいねん	ensi vuosi
行く	いく	mennä
旅行	りょこう	matka
話す	はなす	puhua
会話	かいわ	keskustelu
